                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 0.3796,                0.53087,                0.94513,                0.99615,                      1,                  0.995,                0.98883,                0.17791,                0.25614,                0.64897,              0.0006535,              0.0006535,              0.0006535
                     37,                0.35069,                0.51968,                0.93582,                0.99539,                      1,                  0.995,                0.99136,                0.18684,                0.26875,                0.65054,              0.0006436,              0.0006436,              0.0006436
                     38,                0.37389,                0.51214,                0.94406,                0.99676,                      1,                  0.995,                0.99166,                0.18283,                0.25563,                0.64932,              0.0006337,              0.0006337,              0.0006337
                     39,                0.35754,                0.48336,                0.92773,                 0.9959,                      1,                  0.995,                0.99085,                0.16324,                0.24018,                0.64231,              0.0006238,              0.0006238,              0.0006238
                     40,                0.36488,                0.49467,                0.93647,                0.99477,                      1,                  0.995,                0.99332,                0.17065,                0.24203,                0.64079,              0.0006139,              0.0006139,              0.0006139
                     41,                0.36632,                 0.5066,                0.95132,                  0.995,                      1,                  0.995,                 0.9876,                0.17392,                0.23741,                0.64145,               0.000604,               0.000604,               0.000604
                     42,                0.35654,                0.47735,                0.93694,                0.99333,                      1,                  0.995,                0.98628,                0.18401,                0.23408,                0.64031,              0.0005941,              0.0005941,              0.0005941
                     43,                0.35778,                0.47587,                0.92783,                0.99479,                      1,                  0.995,                0.99217,                0.17338,                0.25241,                0.64154,              0.0005842,              0.0005842,              0.0005842
                     44,                0.34969,                0.47238,                0.93268,                0.99042,                      1,                  0.995,                0.98789,                0.19229,                0.24425,                0.65185,              0.0005743,              0.0005743,              0.0005743
                     45,                0.35278,                0.46915,                0.92893,                0.99309,                      1,                  0.995,                0.99156,                0.16663,                0.23428,                0.64383,              0.0005644,              0.0005644,              0.0005644
                     46,                0.34078,                0.46925,                0.92641,                0.99585,                      1,                  0.995,                0.98975,                0.16588,                0.23003,                0.63836,              0.0005545,              0.0005545,              0.0005545
